,Place,Type,Source
0,ADDY’S BARBEQUE,Fully Halal,Muslim Foodies
1,Farida Central Asian Cuisine & Grill,Fully Halal,Muslim Foodies
2,Fitoor Cafe & Grill Lounge,Fully Halal,Muslim Foodies
3,Carifesta,Fully Halal,Muslim Foodies
4,Carifesta,Fully Halal,Muslim Foodies
5,Terry And Yaki Cart,Fully Halal,Muslim Foodies
6,LULU CHINESE,Fully Halal,Muslim Foodies
7,Nur Thai,Fully Halal,Muslim Foodies
8,Momo's Mediterranean Grill,Fully Halal,Muslim Foodies
9,Nepali Bhanchha Ghar,Fully Halal,Muslim Foodies
10,Thai Nara,Fully Halal,Muslim Foodies
11,Zeytin Mediterranean,Fully Halal,Muslim Foodies
12,Big Arc Chicken,Fully Halal,Muslim Foodies
13,Aroma Indian Cuisine,Fully Halal,Muslim Foodies
14,Desi Galli,Fully Halal,Muslim Foodies
15,Desi Galli,Fully Halal,Muslim Foodies
16,AwesomeSauce,Fully Halal,Muslim Foodies
17,Mahmoud's Corner Halal Food Cart,Fully Halal,Muslim Foodies
18,Halal Munchies,Fully Halal,Muslim Foodies
19,Momo Crave,Fully Halal,Muslim Foodies
20,Oba,Fully Halal,Muslim Foodies
21,Tallgrass Burger,Fully Halal,Muslim Foodies
22,Sam's Steak & Grill,Fully Halal,Muslim Foodies
23,Memo Shish Kebab - Manhattan,Fully Halal,Muslim Foodies
24,Halalbee's,Fully Halal,Muslim Foodies
25,Hot Peppers,Fully Halal,Muslim Foodies
26,Aba,Fully Halal,Muslim Foodies
27,Kabab King,Fully Halal,Muslim Foodies
28,Kotti Berliner Döner Kebab,Fully Halal,Muslim Foodies
29,Ali's Trinidad Roti Shop,Fully Halal,Muslim Foodies
30,Darbar's Chicken & Ribs,Fully Halal,Muslim Foodies
31,Ruzana,Fully Halal,Muslim Foodies
32,Tangra Masala,Fully Halal,Muslim Foodies
33,Rasa,Fully Halal,Muslim Foodies
34,Cocoa Grinder,Fully Halal,Muslim Foodies
35,Brooklyn Halal Grill,Fully Halal,Muslim Foodies
36,Atomic Wings Queens,Fully Halal,Muslim Foodies
37,Bakewell,Fully Halal,Muslim Foodies
38,Lasani,Fully Halal,Muslim Foodies
39,Sagar Chinese,Fully Halal,Muslim Foodies
40,Sagar Chinese,Fully Halal,Muslim Foodies
41,BK JANI,Fully Halal,Muslim Foodies
42,BK Jani,Fully Halal,Muslim Foodies
43,M&M Bakery & Halal Restaurant,Fully Halal,Muslim Foodies
44,Majnoon Cafe,Fully Halal,Muslim Foodies
45,Twisted Mexican Grill,Fully Halal,Muslim Foodies
46,Milk And Honey Cafe,Fully Halal,Muslim Foodies
47,Peri Peri Grill House,Fully Halal,Muslim Foodies
48,Halal boyz,Fully Halal,Muslim Foodies
49,Fatima's Halal Kitchen,Fully Halal,Muslim Foodies
50,BURGERS by Honest Chops,Fully Halal,Muslim Foodies
51,Merit Kabab,Fully Halal,Muslim Foodies
52,Haat Bazaar Restaurent,Fully Halal,Muslim Foodies
53,Zatar Cafe & Bistro,Fully Halal,Muslim Foodies
54,The Soul Spot,Fully Halal,Muslim Foodies
55,Munch,Fully Halal,Muslim Foodies
56,Pad Thai Cuisine,Fully Halal,Muslim Foodies
57,Queen Sheeba,Fully Halal,Muslim Foodies
58,Falafel Tarboosh,Fully Halal,Muslim Foodies
59,Al Masry,Fully Halal,Muslim Foodies
60,Affy's Premium Grill,Fully Halal,Muslim Foodies
61,Pepo’s Pizza,Fully Halal,Muslim Foodies
62,Les Ambassades,Fully Halal,Muslim Foodies
63,My House Burgers and Shakes,Fully Halal,Muslim Foodies
64,Yemen Cafe,Fully Halal,Muslim Foodies
65,Mirch,Fully Halal,Muslim Foodies
66,The Halal Spot,Fully Halal,Muslim Foodies
67,Bahar Masala,Fully Halal,Muslim Foodies
68,Duzan,Fully Halal,Muslim Foodies
69,Rocca Cafe & Lounge,Fully Halal,Muslim Foodies
70,One Thai Chef,Fully Halal,Muslim Foodies
71,Kabul Kabob House,Fully Halal,Muslim Foodies
72,Asian Taste 86 Halal Food,Fully Halal,Muslim Foodies
73,Miraj Healthy Grill,Fully Halal,Muslim Foodies
74,PAPA KEBAB,Fully Halal,Muslim Foodies
75,Chick In,Fully Halal,Muslim Foodies
76,Sami's Kabab House,Fully Halal,Muslim Foodies
77,No pork halal kitchen,Fully Halal,Muslim Foodies
78,Halal Kitchen,Fully Halal,Muslim Foodies
79,Halal Kitchen,Fully Halal,Muslim Foodies
80,Top Thai,Fully Halal,Muslim Foodies
81,Simit Sarayi,Fully Halal,Muslim Foodies
82,Omar's,Fully Halal,Muslim Foodies
83,Omar Mediterranean Cuisine,Fully Halal,Muslim Foodies
84,SkyIce Thai Food & Ice Cream,Fully Halal,Muslim Foodies
85,Taheni,Fully Halal,Muslim Foodies
86,Kabul Kabob House,Fully Halal,Muslim Foodies
87,Uncle's Nick's Mediterranean Gyro Grill,Fully Halal,Muslim Foodies
88,Omar's Burgers and Platters (Halal),Fully Halal,Muslim Foodies
89,Nurlan,Fully Halal,Muslim Foodies
90,Krave Shack,Fully Halal,Muslim Foodies
91,Halal Xpress Chinese Kitchen,Fully Halal,Muslim Foodies
92,Blue Nile,Fully Halal,Muslim Foodies
93,Black Nile,Fully Halal,Muslim Foodies
94,Fresco Fusion,Fully Halal,Muslim Foodies
95,Kebab House (Halal),Fully Halal,Muslim Foodies
96,Tribos Peri Peri,Fully Halal,Muslim Foodies
97,Zyara Restaurant,Fully Halal,Muslim Foodies
98,The Gully,Fully Halal,Muslim Foodies
99,Halal China Kitchen Plus,Fully Halal,Muslim Foodies
100,Tarim Uyghur Cuisine,Fully Halal,Muslim Foodies
101,Bali Kitchen,Fully Halal,Muslim Foodies
102,Lahori Chilli,Fully Halal,Muslim Foodies
103,Holy Cow,Fully Halal,Muslim Foodies
104,Chicky’s,Fully Halal,Muslim Foodies
105,Emir Palace,Fully Halal,Muslim Foodies
106,Sammy's Steak and Smokehouse,Fully Halal,Muslim Foodies
107,Dhania,Fully Halal,Muslim Foodies
108,Twisted wings,Fully Halal,Muslim Foodies
109,Desi Galli Indian Street Food,Fully Halal,Muslim Foodies
110,Ayat,Fully Halal,Muslim Foodies
111,Qahwah House,Fully Halal,Muslim Foodies
112,Mumbai Dreams,Fully Halal,Muslim Foodies
113,Moho Mexican Grill,Fully Halal,Muslim Foodies
114,Fire Stone Grill and Pizza,Fully Halal,Muslim Foodies
115,Chingri Restaurant,Fully Halal,Muslim Foodies
116,Choopan Grill,Fully Halal,Muslim Foodies
117,Avenue BBQ Hut,Fully Halal,Muslim Foodies
118,Trinciti Roti Shop and Restaurant,Fully Halal,Muslim Foodies
119,Chicken N Shakes,Fully Halal,Muslim Foodies
120,Adana Turkish Grill,Fully Halal,Muslim Foodies
121,Kashkar Cafe,Fully Halal,Muslim Foodies
122,Grilled Flavor,Fully Halal,Muslim Foodies
123,Dar Al Yemen مطعم دار اليمن‎,Fully Halal,Muslim Foodies
124,Apple Tree Gourmet,Fully Halal,Muslim Foodies
125,Nneji,Fully Halal,Muslim Foodies
126,Hadramout Restaurant NYC (yemeni food),Fully Halal,Muslim Foodies
127,Voilà Afrique,Fully Halal,Muslim Foodies
128,Casa La Femme,Fully Halal,Muslim Foodies
129,Shibam Yemen Cafe,Fully Halal,Muslim Foodies
130,Coney Island House of Wings,Fully Halal,Muslim Foodies
131,Fritebar,Fully Halal,Muslim Foodies
132,Safari,Fully Halal,Muslim Foodies
133,Shawafel House,Fully Halal,Muslim Foodies
134,Royal Bangladesh,Fully Halal,Muslim Foodies
135,Boishakhi,Fully Halal,Muslim Foodies
136,Texas Lone Star Fried Chicken & Burgers,Fully Halal,Muslim Foodies
137,The Fire Spot,Fully Halal,Muslim Foodies
138,Yasmeen Mediterranean Cuisine and Hookah Lounge,Fully Halal,Muslim Foodies
139,Al-Basha Restaurant,Fully Halal,Muslim Foodies
140,Zai's Dessertery,Fully Halal,Muslim Foodies
141,Zai's Dessertery Cresskill,Fully Halal,Muslim Foodies
142,Halal Gyro Pizza Chicken Brooklyn | Jay's Quick Bites,Fully Halal,Muslim Foodies
143,Jiang Diner 疆湖,Fully Halal,Muslim Foodies
144,Skips Fish and Chicken,Fully Halal,Muslim Foodies
145,Bosna Express,Fully Halal,Muslim Foodies
146,Paratha Wala Inc.,Fully Halal,Muslim Foodies
147,Zooba,Fully Halal,Muslim Foodies
148,Oshton Plov Center,Fully Halal,Muslim Foodies
149,Ćevabdžinica Sarajevo,Fully Halal,Muslim Foodies
150,Lagman House,Fully Halal,Muslim Foodies
151,Tropical Isle Roti Shop and Bakery,Fully Halal,Muslim Foodies
152,Uyghur Restaurant NYC | Tengri Tagh Uyghur Cuisine | 天山维吾尔,Fully Halal,Muslim Foodies
153,Caravan Uyghur Cuisine,Fully Halal,Muslim Foodies
154,Birria LES,Fully Halal,Muslim Foodies
155,La Estacion Deli & Pizzeria,Fully Halal,Muslim Foodies
156,Operation: falafel,Fully Halal,Muslim Foodies
157,Eatzy Thai,Fully Halal,Muslim Foodies
158,Gazab,Fully Halal,Muslim Foodies
159,Marakand,Fully Halal,Muslim Foodies
160,Xcellent Soul Food,Fully Halal,Muslim Foodies
161,Mum Feteer,Fully Halal,Muslim Foodies
162,Champs Chics & Waffles,Fully Halal,Muslim Foodies
163,Village Creperie,Fully Halal,Muslim Foodies
164,Freetown Road Project Eatery,Fully Halal,Muslim Foodies
165,BURGER WORLD,Fully Halal,Muslim Foodies
166,Kababjees,Fully Halal,Muslim Foodies
167,Moonlite Grill & Chicken,Fully Halal,Muslim Foodies
168,LeyRa Chocolate,Fully Halal,Muslim Foodies
169,Pollos LES,Fully Halal,Muslim Foodies
170,Birdies,Fully Halal,Muslim Foodies
171,The Theo Thai Bistro,Fully Halal,Muslim Foodies
172,Jinsoy,Fully Halal,Muslim Foodies
173,Crepe & Chill,Fully Halal,Muslim Foodies
174,German Doner Kebab,Fully Halal,Muslim Foodies
175,Viva la Pizza,Fully Halal,Muslim Foodies
176,Burgermania,Fully Halal,Muslim Foodies
177,The Port of Peri Peri,Fully Halal,Muslim Foodies
178,The Grounds Of Brooklyn,Fully Halal,Muslim Foodies
179,BUREK KING,Fully Halal,Muslim Foodies
180,Top Thai Greenwich,Fully Halal,Muslim Foodies
181,Birdies Hot Chicken,Fully Halal,Muslim Foodies
182,Manousheh Bleecker,Fully Halal,Muslim Foodies
183,King of Falafel & Shawarma,Fully Halal,Muslim Foodies
184,Sheikh Shack,Fully Halal,Muslim Foodies
185,Burger Station,Fully Halal,Muslim Foodies
186,al Badawi,Fully Halal,Muslim Foodies
187,Birria Mania,Fully Halal,Muslim Foodies
188,Taco Express,Fully Halal,Muslim Foodies
189,Kulchay,Fully Halal,Muslim Foodies
190,Twinz Hot Chicken,Fully Halal,Muslim Foodies
191,Korai Kitchen,Fully Halal,Muslim Foodies
192,Laree Adda - Authentic Pakistani & Indian Cuisine,Fully Halal,Muslim Foodies
193,My Teriyaki Food Cart,Fully Halal,Muslim Foodies
194,Khalil Biryani House,Fully Halal,Muslim Foodies
195,FLAMES INDIAN AROMA,Fully Halal,Muslim Foodies
196,Balade,Fully Halal,Muslim Foodies
197,Rowdy Rooster,Fully Halal,Muslim Foodies
198,Dar Yemma,Fully Halal,Muslim Foodies
199,Namkeen,Fully Halal,Muslim Foodies
200,Namkeen Hot Chicken,Fully Halal,Muslim Foodies
201,The Zafran Grille,Fully Halal,Muslim Foodies
202,Scoville Hot Chicken,Fully Halal,Muslim Foodies
203,Ara's Hot Chicken,Fully Halal,Muslim Foodies
204,Massawa,Fully Halal,Muslim Foodies
205,Layers bakeshop,Fully Halal,Muslim Foodies
207,Tesoro,Partially Halal,Muslim Foodies
208,To Be Thai,Partially Halal,Muslim Foodies
209,Benares,Partially Halal,Muslim Foodies
210,Elevation Burger,Partially Halal,Muslim Foodies
211,Buffalo Boss,Partially Halal,Muslim Foodies
212,Awang Kitchen,Partially Halal,Muslim Foodies
213,Opera Cafe Lounge,Partially Halal,Muslim Foodies
214,Tokyo Hibachi Steakhouse & Sushi,Partially Halal,Muslim Foodies
215,Legend Chicken,Partially Halal,Muslim Foodies
216,"Chicago's Pizza With A Twist - Richmond Hill, NY",Partially Halal,Muslim Foodies
217,Moustache Pitza,Partially Halal,Muslim Foodies
218,A Novel Kitchen,Partially Halal,Muslim Foodies
219,375° Chicken 'n Fries,Partially Halal,Muslim Foodies
220,375° Chicken ‘n’ Fries,Partially Halal,Muslim Foodies
221,Bagel Point,Partially Halal,Muslim Foodies
223,Meat and Bread,Halal Meat (Alcohol/Bar),Muslim Foodies
224,SaGhar,Halal Meat (Alcohol/Bar),Muslim Foodies
225,Ravagh,Halal Meat (Alcohol/Bar),Muslim Foodies
226,GupShup,Halal Meat (Alcohol/Bar),Muslim Foodies
227,CD,Halal Meat (Alcohol/Bar),Muslim Foodies
228,Top Thai 55 Carmine,Halal Meat (Alcohol/Bar),Muslim Foodies
229,Jade Eatery And Lounge,Halal Meat (Alcohol/Bar),Muslim Foodies
230,Modoo Chicken and Noodle Bar,Halal Meat (Alcohol/Bar),Muslim Foodies
231,Heat Caribbean Kitchen & Lounge,Halal Meat (Alcohol/Bar),Muslim Foodies
232,Dept. of Culture,Halal Meat (Alcohol/Bar),Muslim Foodies
233,Sugar N Coal,Halal Meat (Alcohol/Bar),Muslim Foodies
